Segment-1 High Touch Enthusiasts	0.101322	0	-1.715052	-0.060401	-1.280058	0.062572	-0.956105	-0.837508	-0.521245	0	0.563135	1.275031	-0.272093	0.882339	0.201215	-1.291542	-4.708427
Segment-2 Self-Directed Enthusiasts	-0.077569	0	0.535774	-0.258613	-1.980569	-0.091129	-0.395697	-0.047093	-1.36317	0	-0.081016	0.502602	-1.184038	0.742198	-0.56103	-2.271814	-5.582999
Segment-3 Time Starved	0.151921	0	1.451859	-0.050437	1.828808	0.312052	0.397386	1.001373	-1.068578	0	-0.760888	-0.361353	-0.355747	-0.186869	-1.141889	-2.619294	-4.391359
Segment-4 Budget Constrained Sale Stalkers	0.168792	0	0.572238	1.116282	0.040748	1.140649	1.533182	2.554301	-1.152071	0	-1.138939	-1.234744	1.24129	-0.334972	-1.258608	-2.089153	-5.839225
Segment-5 Mainstream Basics	-0.450624	0	-0.708117	1.05189	-0.846211	0.968055	-0.710499	-0.300018	-1.514951	0	-1.611399	-2.320401	-0.264664	-0.19507	-1.098839	-2.358533	-5.049548
Segment-6 Disengaged	-0.319655	0	0.324693	0.434167	-0.066608	-0.581512	-0.141763	0.838836	-0.851161	0	-0.774811	-0.39054	-0.137593	-0.41606	-0.484545	2.377288	-4.246064
Segment-7 Fashion & Quality at a Pricde	0.17783	0	-0.776093	-0.160299	-1.468344	0.236141	-0.3585	0.174766	-1.146714	0	0.126262	0.850051	0.858151	0.59309	-0.133689	-2.228763	-5.034017
